Year,Science_Engineering_Field,SE_comparison,Broad_Field,Broad_Field_comparison,Field,Field_comparison,Recipients
1958,Non-science and engineering,1,Total,0,Total,0,3022
1958,Non-science and engineering,0,Education,1,Total,0,1491
1958,Non-science and engineering,0,Education,0,Education administration,1,3
1958,Non-science and engineering,0,Education,0,Education research,1,9
1958,Non-science and engineering,0,Education,0,Other education,1,1464
1958,Non-science and engineering,0,Education,0,Teacher education,1,1
1958,Non-science and engineering,0,Education,0,Teaching fields,1,14
1958,Non-science and engineering,0,Humanities and arts,1,Total,0,1320
1958,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,157
1958,Non-science and engineering,0,Humanities and arts,0,History,1,317
1958,Non-science and engineering,0,Humanities and arts,0,Letters,1,471
1958,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,375
1958,Non-science and engineering,0,Other,1,Total,0,211
1958,Non-science and engineering,0,Other,0,Business management and administration,1,120
1958,Non-science and engineering,0,Other,0,Communication,1,7
1958,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,84
1958,Science and engineering,1,Total,0,Total,0,5751
1958,Science and engineering,0,Engineering,1,Total,0,629
1958,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,32
1958,Science and engineering,0,Engineering,0,Chemical engineering,1,133
1958,Science and engineering,0,Engineering,0,Civil engineering,1,52
1958,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,12
1958,Science and engineering,0,Engineering,0,Mechanical engineering,1,72
1958,Science and engineering,0,Engineering,0,Other engineering,1,328
1958,Science and engineering,0,Life sciences,1,Total,0,1622
1958,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,339
1958,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1201
1958,Science and engineering,0,Life sciences,0,Health sciences,1,82
1958,Science and engineering,0,Mathematics and computer sciences,1,Total,0,238
1958,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,238
1958,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,1652
1958,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,20
1958,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,14
1958,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,965
1958,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,162
1958,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,14
1958,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,477
1958,Science and engineering,0,Psychology and social sciences,1,Total,0,1610
1958,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,53
1958,Science and engineering,0,Psychology and social sciences,0,Economics,1,332
1958,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,153
1958,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,171
1958,Science and engineering,0,Psychology and social sciences,0,Psychology,1,743
1958,Science and engineering,0,Psychology and social sciences,0,Sociology,1,158
1958,Total,0,Total,0,All fields,1,8773
1959,Non-science and engineering,1,Total,0,Total,0,3170
1959,Non-science and engineering,0,Education,1,Total,0,1553
1959,Non-science and engineering,0,Education,0,Education administration,1,1
1959,Non-science and engineering,0,Education,0,Education research,1,11
1959,Non-science and engineering,0,Education,0,Other education,1,1522
1959,Non-science and engineering,0,Education,0,Teacher education,1,1
1959,Non-science and engineering,0,Education,0,Teaching fields,1,18
1959,Non-science and engineering,0,Humanities and arts,1,Total,0,1396
1959,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,181
1959,Non-science and engineering,0,Humanities and arts,0,History,1,331
1959,Non-science and engineering,0,Humanities and arts,0,Letters,1,509
1959,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,375
1959,Non-science and engineering,0,Other,1,Total,0,221
1959,Non-science and engineering,0,Other,0,Business management and administration,1,136
1959,Non-science and engineering,0,Other,0,Communication,1,14
1959,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,71
1959,Science and engineering,1,Total,0,Total,0,6043
1959,Science and engineering,0,Engineering,1,Total,0,699
1959,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,24
1959,Science and engineering,0,Engineering,0,Chemical engineering,1,148
1959,Science and engineering,0,Engineering,0,Civil engineering,1,53
1959,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,12
1959,Science and engineering,0,Engineering,0,Mechanical engineering,1,80
1959,Science and engineering,0,Engineering,0,Other engineering,1,382
1959,Science and engineering,0,Life sciences,1,Total,0,1581
1959,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,342
1959,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1140
1959,Science and engineering,0,Life sciences,0,Health sciences,1,99
1959,Science and engineering,0,Mathematics and computer sciences,1,Total,0,289
1959,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,289
1959,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,1802
