Science_Engineering_Field,SE_comparison,Broad_Field,Broad_Field_comparison,Field,Field_comparison,Year,Academia,Industry,Government,Nonprofit,Other,Approx
All fields,0,All fields,0,All fields,1,2016,61000,100000,80000,80000,70000,Reported
Science and engineering,1,Science and engineering,0,All Science and engineering,0,2016,63000,100000,80336,85000,60000,Reported
Science and engineering,0,Life sciences,1,All Life sciences,0,2016,64000,90000,74000,80000,57000,Reported
Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,2016,62500,84000,70000,60000,NA,Reported
Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,2016,53724,90000,69000,71000,53500,Reported
Science and engineering,0,Life sciences,0,Health sciences,1,2016,71000,91250,89153,96500,80000,Reported
Science and engineering,0,Physical sciences and earth sciences,1,All Physical sciences and earth sciences,0,2016,52000,100000,79000,102500,54000,Reported
Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,2016,50000,93000,80000,100000,58000,Reported
Science and engineering,0,Physical sciences and earth sciences,0,"Geosciences, atmospheric, and ocean sciences",1,2016,55000,95000,72000,62000,50000,Reported
Science and engineering,0,Physical sciences and earth sciences,0,Physics and astronomy,1,2016,55000,105000,87781,107650,60000,Reported
Science and engineering,0,Mathematics and computer sciences,1,All Mathematics and computer sciences,1,2016,70000,125000,93000,106250,56000,Reported
Science and engineering,0,Psychology and social sciences,1,All Psychology and social sciences ,0,2016,61000,95000,80000,80000,63500,Reported
Science and engineering,0,Psychology and social sciences,0,Psychology,1,2016,57458,80000,68000,75000,60000,Reported
Science and engineering,0,Psychology and social sciences,0,Economics,1,2016,90000,125000,102000,120000,110000,Reported
Science and engineering,0,Psychology and social sciences,0,Social sciences,1,2016,60000,90000,78000,75000,60000,Reported
Science and engineering,0,Engineering,1,All engineering,1,2016,78500,100000,95000,100000,48000,Reported
Non-science and engineering,1,Non-science and engineering,0,All Non-science and engineering,0,2016,60000,90000,80000,67250,72000,Reported
Non-science and engineering,0,Education,1,All Education,1,2016,61000,80000,75000,79500,77000,Reported
Non-science and engineering,0,Humanities and arts,1,All Humanities and arts,1,2016,51080,69000,67000,55000,55000,Reported
Non-science and engineering,0,Business management and administration,1,Business management and administration,1,2016,120000,125000,120237,145000,NA,Reported
Non-science and engineering,0,Other,1,All Other non-S&E fields,1,2016,60000,92500,80000,86000,66000,Reported
Non-science and engineering,0,Education,0,Education administration,1,2016,61000,80000,75000,79500,77000,Approximated
Non-science and engineering,0,Education,0,Education research,1,2016,61000,80000,75000,79500,77000,Approximated
Non-science and engineering,0,Education,0,Other education,1,2016,61000,80000,75000,79500,77000,Approximated
Non-science and engineering,0,Education,0,Teacher education,1,2016,61000,80000,75000,79500,77000,Approximated
Non-science and engineering,0,Education,0,Teaching fields,1,2016,61000,80000,75000,79500,77000,Approximated
Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,2016,51080,69000,67000,55000,55000,Approximated
Non-science and engineering,0,Humanities and arts,0,History,1,2016,51080,69000,67000,55000,55000,Approximated
Non-science and engineering,0,Humanities and arts,0,Letters,1,2016,51080,69000,67000,55000,55000,Approximated
Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,2016,51080,69000,67000,55000,55000,Approximated
Non-science and engineering,0,Other,0,Communication,1,2016,60000,92500,80000,86000,66000,Approximated
Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,2016,60000,92500,80000,86000,66000,Approximated
Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Chemical engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Civil engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Mechanical engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Other engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Bioengineering and biomedical engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,"Electrical, electronics, and communications engineering",1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Engineering,0,Materials science engineering,1,2016,78500,100000,95000,100000,48000,Approximated
Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,2016,70000,125000,93000,106250,56000,Approximated
Science and engineering,0,Mathematics and computer sciences,0,Computer and information sciences,1,2016,70000,125000,93000,106250,56000,Approximated
Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,2016,55000,105000,87781,107650,60000,Approximated
Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,2016,55000,95000,72000,62000,50000,Approximated
Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,2016,55000,95000,72000,62000,50000,Approximated
Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,2016,55000,95000,72000,62000,50000,Approximated
Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,2016,55000,105000,87781,107650,60000,Approximated
Science and engineering,0,Psychology and social sciences,0,Anthropology,1,2016,60000,90000,78000,75000,60000,Approximated
Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,2016,60000,90000,78000,75000,60000,Approximated
Science and engineering,0,Psychology and social sciences,0,Political science and government,1,2016,60000,90000,78000,75000,60000,Approximated
Science and engineering,0,Psychology and social sciences,0,Sociology,1,2016,60000,90000,78000,75000,60000,Approximated
